,Unnamed: 0,"Starts, total",  Single-detached,  Multiple,     Semi-detached,     Row,     Apartment,"Starts by intended market, total",  Homeownership - freehold,  Rental,  Homeownership - condominium,  Other (co-op and unknown),"Completions, total",Residential Building Permits4,Residential Building Permits($) (thousands)4,Newly completed and unabsorbed homes1,     Single- and semi-detached,     Row and apartment,Rental vacancy rate (%)2,Rental availability rate (%)2,Vacancy Rate (Standard Spaces) in Seniors' Rental 7,Vacancy Rate of Rented Condominium Apartments ,New Housing Price Index (% change)4,Consumer Price Index (% change)4,Owned accommodation costs (% change)4,Rental accommodation costs (% change)4,  Bachelor,  One-bedroom,  Two-bedroom,  3+ bedroom,"Population on July 1 (thousands)3,5",Labour force participation rate (%)3,Employment (% change)4,Unemployment rate (%)3,"Net migration4,6","Starts by intended market, 1 total",Newly completed and unabsorbed homes2,Rental vacancy rate (%)3,Rental availability rate (%)3,Vacancy Rate (Standard Spaces) in Seniors' Rental 6,New Housing Price Index (% change)5,Consumer Price Index (% change)5,Construction Wage Rate Index (% change)5,Owned accommodation costs (% change)5,Rental accommodation costs (% change)5,Population on July 1 (thousands)4,Labour force participation rate (%)4,Employment (% change)5,Unemployment rate (%)4,Real disposable income (% change)5,Net migration5,Consumer Price Index (%  change)4,Owned accommodation costs (%  change)4,Labour force participation rate (% )3,Employment (%  change)4,Unemployment rate (% )3,Vacancy Rate (Standard Spaces) in Seniors' Rental 8,Teranet - National Bank House Price Index (% change)7, One-bedroom, Two-bedroom,3+ bedroom,Vacancy Rate (Standard Spaces) in Seniors' Rental 9,"New Housing Price Index (% change)4,8","Teranet - National Bank House Price Index (% change)7,8","Consumer Price Index (% change)4,8","Owned accommodation costs (% change)4,8","Rental accommodation costs (% change)4,8","New Housing Price Index (% change)4,7","Consumer Price Index (% change)4,7","Owned accommodation costs (% change)4,7","Rental accommodation costs (% change)4,7"
45,2006,48962,31835,17127,3807,2935,10385,,27450,1165,12229,38,39191,50514,7713.93,,1290,211,,,,,,,,,574,711,866,918,,,,,,40882,1501,0.9,1.6,0,38.2485240371099,3.88379440548663,5.68287037037036,14.9393019726859,2.03310832529733,3421.361,73.3833333333333,5.01039158419015,3.5,10.9096970321426,67257,,,,,,,,,,,,,,,,,,,,
46,2007,48336,28105,20231,3699,4377,12155,,23648,1123,13701,5,41709,47277,8557.279,,1937,307,,,,,,,,,665,830,1008,1093,,,,,,38477,2244,1.6,2.6,0,22.480935434672,4.93286848156664,5.71313839302011,15.0504983827315,6.0880522958179,3514.031,74.3,4.15229891320932,3.5,2.48147727819188,64663,,,,,,,,,,,,,,,,,,,,
47,2008,29164,14716,14448,2125,2210,10113,,13484,1151,10760,0,39051,27779,5688.524,,2526,813,,,,,,,,,718,886,1074,1151,,,,,,25395,3339,2.5,3.7,0,0.664120869998332,3.18111126820301,6.45417501208645,6.96540249010268,6.5924276169265,3595.755,74.7333333333333,3.15885080948953,3.6,5.20843753410206,52090,,,,,,,,,,,,,,,,,,,,
48,2009,20298,14344,5954,2267,1654,2033,,14484,670,2590,0,27575,22235,4990.165,,1432,1515,,,,,,,,,698,866,1042,1152,,,,,,17744,2947,5.6,7,5.9,-8.92297542470723,-0.143875034255953,7.29555259999351,0.3111087271362,2.87644518735199,3679.092,74.325,-1.17624146423602,6.5,-0.0140541804182798,52816,,,,,,,,,,,,,,,,,,,,
49,2010,27088,17851,9237,2737,2596,3904,,18238,932,4953,0,29623,26292,6192.587,,1543,1634,,,,,,,,,701,860,1034,1135,,,,,,24123,3177,4.6,6.1,12.2,0.498007968127483,0.994854202401363,3.32869754504777,-0.0748623068285167,-0.765012524541327,3732.573,72.9583333333333,-0.297663037230464,6.6,5.53841120590971,22377,,,,,,,,,,,,,,,,,,,,
50,2011,25704,15193,10511,2811,2473,5227,,16342,1285,5977,0,24276,28590,6525.232,,1717,1379,,,,,,,,,703,868,1042,1151,,,,,,23604,3096,3.4,4.4,12.8,0.414451752410129,2.43885869565218,1.74971472042602,1.50907047680205,0.129622049392821,3790.191,73.575,3.74775056724826,5.4,4.0232035529012,27854,,,,,,,,,,,,,,,,,,,,
51,2012,33396,17493,15903,3886,3315,8702,,19054,2830,8722,0,26501,33807,7752.979,,1660,1104,,,,,,,,,739,903,1083,1159,,,,,,30606,2764,2,2.8,11.3,1.26514131897712,1.12076397639099,3.82458662832493,1.32848331488219,1.36948967772705,3880.755,73.5583333333333,3.47582757799475,4.6,7.73903238400781,60780,,,,,,,,,,,,,,,,,,,,
52,2013,36011,18431,17580,3997,3992,9591,,20519,2962,9512,0,33008,39892,9228.491,,1707,627,,,,,,,,,790,966,1157,1241,,,,,,32993,2334,1.6,2.7,10.2,2.75562643983696,1.43625393494229,2.09389281262983,1.91977524582487,2.55410673477618,3996.62,73.1416666666666,2.47298588015972,4.6,4.93358655948298,84765,,,,,,,,,,,,,,,,,,,,
53,2014,40590,19563,21027,4780,4601,11646,,22298,3159,11804,7,35574,41737,10111.441,,1491,351,,,,,,,,,838,1039,1238,1327,,,,,,37268,1842,2.1,3.1,8.5,3.43192204880571,2.56675502683132,2.79428121863215,3.75701888718733,2.96238039061474,4108.283,72.7166666666666,2.17373401611117,4.7,3.71526557647648,79378,,,,,,,,,,,,,,,,,,,,
54,2015,37282,14557,22725,3953,4659,14113,,17746,4693,12257,0,40065,38831,9155.472,,2033,802,,,,,,,,,863,1051,1251,1342,,,,,,34696,2835,5.7,7.8,8.1,0.725302209253853,1.15355521936459,1.84740439682246,2.42546492177507,2.04964990451941,4179.66,73.0166666666666,1.16687610596773,6,2.83789613375759,38337,,,,,,,,,,,,,,,,,,,,
