,REF_DATE,GEO,Population estimate
2208,Apr-93,Manitoba,1115554
2209,Apr-93,Saskatchewan,1005037
2210,Apr-93,Alberta,2658293
2211,Apr-93,British Columbia,3541936
2212,Apr-93,Yukon,30112
2213,Apr-93,Northwest Territories,39649
2214,Apr-93,Nunavut,23321
2215,Jul-93,Canada,28684764
2216,Jul-93,Newfoundland and Labrador,579977
2217,Jul-93,Prince Edward Island,132177
2218,Jul-93,Nova Scotia,923925
2219,Jul-93,New Brunswick,748812
2220,Jul-93,Quebec,7156537
2221,Jul-93,Ontario,10690038
2222,Jul-93,Manitoba,1117618
2223,Jul-93,Saskatchewan,1006900
2224,Jul-93,Alberta,2667292
2225,Jul-93,British Columbia,3567772
2226,Jul-93,Yukon,30337
2227,Jul-93,Northwest Territories,39820
2228,Jul-93,Nunavut,23559
2229,Oct-93,Canada,28786619
2230,Oct-93,Newfoundland and Labrador,578194
2231,Oct-93,Prince Edward Island,132467
2232,Oct-93,Nova Scotia,925851
2233,Oct-93,New Brunswick,749454
2234,Oct-93,Quebec,7172016
2235,Oct-93,Ontario,10728737
2236,Oct-93,Manitoba,1118603
2237,Oct-93,Saskatchewan,1007016
2238,Oct-93,Alberta,2678623
2239,Oct-93,British Columbia,3601746
2240,Oct-93,Yukon,30016
2241,Oct-93,Northwest Territories,40095
2242,Oct-93,Nunavut,23801
2243,Jan-94,Canada,28835772
2244,Jan-94,Newfoundland and Labrador,577128
2245,Jan-94,Prince Edward Island,132752
2246,Jan-94,Nova Scotia,925852
2247,Jan-94,New Brunswick,749531
2248,Jan-94,Quebec,7177923
2249,Jan-94,Ontario,10744762
2250,Jan-94,Manitoba,1119284
2251,Jan-94,Saskatchewan,1007554
2252,Jan-94,Alberta,2683346
2253,Jan-94,British Columbia,3623717
2254,Jan-94,Yukon,29670
2255,Jan-94,Northwest Territories,40273
2256,Jan-94,Nunavut,23980
2257,Apr-94,Canada,28907448
2258,Apr-94,Newfoundland and Labrador,575670
2259,Apr-94,Prince Edward Island,133030
2260,Apr-94,Nova Scotia,926109
2261,Apr-94,New Brunswick,749473
2262,Apr-94,Quebec,7184599
2263,Apr-94,Ontario,10776819
